Wind Power,Amount of Cargo,Auxiliary Engine Power,Main Engine Power,LOA,Breath,Draught,Light Weight,Month,Latitude,Longitude,Speed,Consumption_LSHFO
5,50999.821,770,9480,190,32.26,12.54,11149.4,January,22.272,121.412,9.416666667,25.3
6,50999.821,770,9480,190,32.26,12.54,11149.4,January,25.91,123.07,10.04166667,24.3
5,50999.821,770,9480,190,32.26,12.54,11149.4,January,29.664,123.652,9.583333333,24.2
4,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.544,123.753,10.16666667,24.5
4,50999.821,770,9480,190,32.26,12.54,11149.4,January,32.877,120.957,9.888888889,15.1
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.757,120.839,0,2.8
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.762,120.838,0,0.3
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.762,120.838,0,2.9
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.765,120.83,0,2.8
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.763,120.828,0,2.9
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,33.763,120.828,0,2.8
3,0,770,9480,190,32.25,12.54,11217,January,27,56.373,0,3
3,0,770,9480,190,32.25,12.54,11217,January,27,56.373,0,0.8
3,0,770,9480,190,32.25,12.54,11217,January,26.927,56.422,0,0.5
3,0,770,9480,190,32.25,12.54,11217,January,26.677,52.988,11.0326087,21
3,0,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,0.8
3,0,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,1.8
3,677,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.2
3,2474,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.6
3,5391,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.8
3,8963,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4
3,12018,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4
3,15054,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4
3,18000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4.1
3,21000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4.6
3,24000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4.5
3,28000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,5
3,32000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,5
3,36000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,4.3
3,40000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.8
3,44000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.8
3,48000,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.8
3,50601,770,9480,190,32.25,12.54,11217,January,27.528,52.558,0,3.8
3,50601,770,9480,190,32.25,12.54,11217,January,27.47,52.518,0,2.3
3,50601,770,9480,190,32.25,12.54,11217,January,26.293,53.892,8.96,11.9
3,50601,770,9480,190,32.25,12.54,11217,January,26.938,56.43,9.411764706,18.8
3,50601,770,9480,190,32.25,12.54,11217,January,27.013,56.347,0,1.6
3,50601,770,9480,190,32.25,12.54,11217,January,27.013,56.347,0,1
3,50601,770,9480,190,32.25,12.54,11217,January,27.013,56.347,0,1
3,50601,770,9480,190,32.25,12.54,11217,January,27.013,56.347,0,1.333
4,50601,770,9480,190,32.25,12.54,11217,January,27.013,56.347,0,3.2
4,50601,770,9480,190,32.25,12.54,11217,January,27.013,56.347,0,3.3
3,50601,770,9480,190,32.25,12.54,11217,January,26.927,56.44,0,2
3,50601,770,9480,190,32.25,12.54,11217,January,25.758,56.952,0,1.5
3,50601,770,9480,190,32.25,12.54,11217,January,25.758,56.952,0,0.1
3,50601,770,9480,190,32.25,12.54,11217,January,25.758,56.952,0,0.6
3,50601,770,9480,190,32.25,12.54,11217,January,25.59,59.818,0,0.7
3,50601,770,9480,190,32.25,12.54,11217,January,25.087,59.818,8.526315789,19.3
3,50601,770,9480,190,32.25,12.54,11217,January,24.382,63.785,9.041666667,27
3,50601,770,9480,190,32.25,12.54,11217,January,22.487,67.202,9.75,27
4,50601,770,9480,190,32.25,12.54,11217,January,19.632,69.455,9.260869565,25.7
3,50601,770,9480,190,32.25,12.54,11217,January,17.025,71.718,8.875,26.2
3,50601,770,9480,190,32.25,12.54,11217,January,14.277,73.578,9.217391304,25.4
3,0,680,9480,190,32.26,12.54,11153,January,29.79,122.128,0,1.2
3,0,680,9480,190,32.26,12.54,11153,January,29.79,122.128,0,2.8
3,0,680,9480,190,32.26,12.54,11153,January,29.79,122.128,0,0.4
3,0,680,9480,190,32.26,12.54,11153,January,29.837,122.142,0,1.8
3,0,680,9480,190,32.26,12.54,11153,January,29.86,122.213,0,0.2
3,0,680,9480,190,32.26,12.54,11153,January,29.86,122.213,0,0.3
3,0,680,9480,190,32.26,12.54,11153,January,25.91,121.14,13.17948718,23.3
3,0,680,9480,190,32.26,12.54,11153,January,22.07,118.133,13.25,27.8
3,0,680,9480,190,32.26,12.54,11153,January,21.833,113.733,13.52631579,21.8
3,0,680,9480,190,32.26,12.54,11153,January,21.893,113.692,0,0.4
3,0,680,9480,190,32.26,12.54,11153,January,21.893,113.692,0,0.1
3,0,680,9480,190,32.26,12.54,11153,January,21.893,113.692,0,0.993
4,0,680,9480,190,32.26,12.54,11153,January,21.893,113.692,0,0.507
4,0,680,9480,190,32.26,12.54,11153,January,18.067,113.567,13.47058824,18.4
4,0,680,9480,190,32.26,12.54,11153,January,13.195,111.762,13.41666667,26.3
4,0,680,9480,190,32.26,12.54,11153,January,8.345,109.842,13.125,26.5
3,0,680,9480,190,32.26,12.54,11153,January,4.17,106.028,14.16666667,27.5
3,0,680,9480,190,32.26,12.54,11153,January,1.912,102.36,14.16666667,27.8
3,0,680,9480,190,32.26,12.54,11153,January,5.36,97.85,13.72,28.5
4,0,680,9480,190,32.26,12.54,11153,January,6.183,92.417,13.95833333,28.3
3,0,680,9480,190,32.26,12.54,11153,January,5.85,86.54,14.08,28.8
3,0,680,9480,190,32.26,12.54,11153,January,5.51,80.673,14.36734694,28.3
5,0,720,9850,189.99,32.26,12.49,10347.92,January,19.5,117.5,13.33333333,24.5
5,0,720,9850,189.99,32.26,12.49,10347.92,January,15.217,114.567,12.83333333,25
5,0,720,9850,189.99,32.26,12.49,10347.92,January,10.883,111.667,12.95833333,25.5
4,0,720,9850,189.99,32.26,12.49,10347.92,January,6.533,108.317,13.75,25.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,2.333,105,13.33333333,25.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,2.7,101.317,12.08333333,24
3,0,720,9850,189.99,32.26,12.49,10347.92,January,5.933,97.467,12.44,24
3,0,720,9850,189.99,32.26,12.49,10347.92,January,6.15,91.8,14.08333333,25.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,5.967,86.067,13.68,26.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,5.8,80.867,12.91666667,26.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,8.317,76.533,12.44897959,26
3,0,720,9850,189.99,32.26,12.49,10347.92,January,12.55,73.833,12.66666667,25.5
4,0,720,9850,189.99,32.26,12.49,10347.92,January,16.45,69.583,13.64,26
3,0,720,9850,189.99,32.26,12.49,10347.92,January,19.733,65.45,12.83333333,25
3,0,720,9850,189.99,32.26,12.49,10347.92,January,23.05,61.133,12.48,25.5
4,0,720,9850,189.99,32.26,12.49,10347.92,January,25.633,57.283,12.08333333,24
3,0,720,9850,189.99,32.26,12.49,10347.92,January,26.956,56.358,0,1
3,0,720,9850,189.99,32.26,12.49,10347.92,January,26.956,56.358,0,2.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,26.956,56.358,0,2.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,26.956,56.358,0,3
3,0,720,9850,189.99,32.26,12.49,10347.92,January,26.956,56.358,0,2.8
3,0,720,9850,189.99,32.26,12.49,10347.92,January,26.956,56.358,0,0.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,27.043,56.217,0,0.2
3,0,720,9850,189.99,32.26,12.49,10347.92,January,27.043,56.217,0,2.5
3,0,720,9850,189.99,32.26,12.49,10347.92,January,27.043,56.217,0,1.5
2,0,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,0.5
2,0,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,2
2,9700,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,4.7
2,20100,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,4.8
3,35620,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,4.8
3,45048,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,4.7
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.097,56.048,0,3.7
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.065,56.183,0,0.6
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.047,56.288,0,0.5
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.047,56.288,0,0.4
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.047,56.288,0,0.2
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.047,56.288,0,0.6
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,27.032,56.335,0,0.4
2,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,25.533,57.883,9.583333333,12.45
2,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,24.35,62.483,11.16666667,25.2
3,52301.342,720,9850,189.99,32.26,12.49,10347.92,January,22.467,66.5,11.30434783,24
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,19.033,65.85,11.25,26.93
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,15.683,71.683,10.95833333,27.3
2,49996.58,770,9480,190,32.25,12.54,11152.3,January,12.267,74.1,10.86956522,26
2,49996.58,770,9480,190,32.25,12.54,11152.3,January,8.4,75.85,11.0212766,28.1
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,6.167,79.283,10.45833333,28
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,5.695,83.667,11.20833333,28
4,49996.58,770,9480,190,32.25,12.54,11152.3,January,5.9,92.133,10.5,27.7
4,49996.58,770,9480,190,32.25,12.54,11152.3,January,6.2,96.133,10,28.7
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,4.365,99.26,10.26086957,27.7
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,1.645,102.778,11.25,26
8,49996.58,770,9480,190,32.25,12.54,11152.3,January,2.82,105.243,9.125,28.4
8,49996.58,770,9480,190,32.25,12.54,11152.3,January,5.028,106.815,6.875,28.6
7,49996.58,770,9480,190,32.25,12.54,11152.3,January,7.147,108.852,7.375,28.3
6,49996.58,770,9480,190,32.25,12.54,11152.3,January,10.228,110.608,9.041666667,28.2
6,49996.58,770,9480,190,32.25,12.54,11152.3,January,13.977,112.372,10.33333333,29.2
8,49996.58,770,9480,190,32.25,12.54,11152.3,January,17.237,114.602,10,29.4
7,49996.58,770,9480,190,32.25,12.54,11152.3,January,18.412,115.82,4.25,27.8
7,49996.58,770,9480,190,32.25,12.54,11152.3,January,20.412,117.897,7.083333333,29.1
6,49996.58,770,9480,190,32.25,12.54,11152.3,January,23.638,119.882,9.875,28
5,49996.58,770,9480,190,32.25,12.54,11152.3,January,27.137,122.477,11,28.4
4,49996.58,770,9480,190,32.25,12.54,11152.3,January,30.393,124.81,11.125,28.3
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.165,123.6,10.5,25.8
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,35.038,120.103,10.5,18.5
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.905,119.85,0,1
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.905,119.85,0,2.1
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.747,119.418,0,4.2
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.747,119.418,0,0.8
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.747,119.418,0,3.2
3,49996.58,770,9480,190,32.25,12.54,11152.3,January,34.747,119.418,0,3.6
3,0,770,9480,190,32.25,12.54,11152.3,January,34.86,119.667,0,0.4
4,0,770,9480,190,32.25,12.54,11152.3,January,34.86,119.667,0,1.4
4,0,770,9480,190,32.25,12.54,11152.3,January,34.86,119.667,0,2.5
4,0,770,9480,190,32.25,12.54,11152.3,January,34.86,119.667,0,1
4,0,770,9480,190,32.25,12.54,11152.3,January,34.917,119.933,0,2.1
4,0,770,9480,190,32.25,12.54,11152.3,January,33.65,123.983,12.31578947,20.4
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,2.2
4,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,2.1
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,2.1
4,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,1.4
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,2.3
4,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,2.5
6,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.377,0,2.3
4,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.4
4,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.2
4,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.2
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.2
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.2
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.2
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.3
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.2
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.3
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.3
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.3
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.3
6,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
5,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
2,0,770,9480,189.99,32.26,12.49,10357.59,January,26.988,56.348,0,2.1
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.983,56.35,0,1.7
3,0,770,9480,189.99,32.26,12.49,10357.59,January,26.955,56.412,0,0.4
3,0,770,9480,189.99,32.26,12.49,10357.59,January,27.372,52.497,10.81081081,12.1
4,0,770,9480,189.99,32.26,12.49,10357.59,January,27.475,52.483,0,0.9
4,0,770,9480,189.99,32.26,12.49,10357.59,January,27.535,52.552,0,0.8
4,7250,770,9480,189.99,32.26,12.49,10357.59,January,27.535,52.552,0,2.2
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.2
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
4,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.3
5,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.3
4,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.2
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
4,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
5,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
3,0,640,8934,224.97,32.25,14.167,11470,January,27.04,56.237,0,2.1
4,0,420,7833,225,32.26,14.219,11974.2,January,27.535,52.552,0,2
4,7000,420,7833,225,32.26,14.219,11974.2,January,27.535,52.552,0,4
4,21000,420,7833,225,32.26,14.219,11974.2,January,27.535,52.552,0,1.8
5,36000,420,7833,225,32.26,14.219,11974.2,January,27.535,52.552,0,1.8
5,42000,420,7833,225,32.26,14.219,11974.2,January,27.535,52.552,0,1.98
4,58178.288,420,7833,225,32.26,14.219,11974.2,January,27.535,52.552,0,2
6,0,420,7833,225,32.26,14.219,11974.2,January,26.237,53.952,0,16.2
4,0,420,7833,225,32.26,14.219,11974.2,January,30.44,49.055,0,21.7
4,0,420,7833,225,32.26,14.219,11974.2,January,30.44,49.055,0,2.2
5,0,420,7833,225,32.26,14.219,11974.2,January,12.312,60.612,0,16.2
5,0,420,7833,225,32.26,14.219,11974.2,January,24.517,57.8,12.375,25.2
6,0,420,7833,225,32.26,14.219,11974.2,January,21.668,62,12.08333333,24.6
6,0,420,7833,225,32.26,14.219,11974.2,January,16.917,61.697,12.25,24.8
4,0,420,7833,225,32.26,14.219,11974.2,January,12.312,60.612,12.29166667,24.8
4,0,420,7833,225,32.26,14.219,11974.2,January,7.657,59.402,12.45833333,25
5,0,420,7833,225,32.26,14.219,11974.2,January,-1.022,55.162,11.66666667,25
5,0,420,7833,225,32.26,14.219,11974.2,January,-3.825,51.933,10.70833333,25
5,0,420,7833,225,32.26,14.219,11974.2,January,-6.772,48.418,11.45833333,24.9
6,0,420,7833,225,32.26,14.219,11974.2,January,-9.857,44.818,11.32,26.2
6,0,420,7833,225,32.26,14.219,11974.2,January,-12.483,43.033,8.625,17.9
6,0,420,7833,225,32.26,14.219,11974.2,January,-15.55,42.383,8,17.9
6,0,420,7833,225,32.26,14.219,11974.2,January,-19.05,40.538,9.791666667,25
6,0,420,7833,225,32.26,14.219,11974.2,January,-23.188,37.822,12.125,25.1
6,0,420,7833,225,32.26,14.219,11974.2,January,-27.15,34.933,11.4,26.2
6,0,420,7833,225,32.26,14.219,11974.2,January,-30.135,32.7,8.916666667,25.1
6,0,420,7833,225,32.26,14.219,11974.2,January,-33.155,28.77,11.45833333,25.1
5,0,420,7833,225,32.26,14.219,11974.2,January,-34.77,23.707,11.5,25.2
6,0,420,7833,225,32.26,14.219,11974.2,January,-34.933,19.05,9.708333333,25
5,0,420,7833,225,32.26,14.219,11974.2,January,-34.595,14.538,10.72,26.1
5,0,420,7833,225,32.26,14.219,11974.2,January,-30.142,10.24,11.125,24.9
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
4,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
4,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
4,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.3
7,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
6,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
7,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.5
4,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,3
4,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.2
5,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
5,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
2,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
2,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
2,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
2,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.6
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.3
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.4
3,0,600,10200,225,32.26,14,12202.8,January,27.07,56.27,0,2.1
3,0,680,9480,190,32.26,12.54,11167.3,January,17.695,69.768,13,25.5
4,0,680,9480,190,32.26,12.54,11167.3,January,21.697,66.503,12.16,26
4,0,680,9480,190,32.26,12.54,11167.3,January,24.258,62.115,12.5,25
3,0,680,9480,190,32.26,12.54,11167.3,January,25.615,57.335,11.875,24
3,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,0.3
3,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,1.9
4,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,2.7
5,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,2.7
4,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,2.7
4,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,2.7
4,0,680,9480,190,32.26,12.54,11167.3,January,26.945,56.375,0,0.4
3,0,680,9480,190,32.26,12.54,11167.3,January,26.923,56.413,0,0.2
3,0,680,9480,190,32.26,12.54,11167.3,January,27.402,52.503,12.8,20.9
3,0,680,9480,190,32.26,12.54,11167.3,January,27.537,52.552,0,0.3
3,7500,680,9480,190,32.26,12.54,11167.3,January,27.537,52.552,0,2.7
3,18100,680,9480,190,32.26,12.54,11167.3,January,27.537,52.552,0,2.7
3,40500,680,9480,190,32.26,12.54,11167.3,January,27.537,52.552,0,2.7
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,27.537,52.552,0,2.4
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,27.468,52.497,0,0.5
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,29.833,49.303,11.27071823,19.5
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,29.89,49.195,0,1
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,29.89,49.195,0,0.5
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,29.89,49.195,0,2.7
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,29.89,49.195,0,0.2
2,46874.8,680,9480,190,32.26,12.54,11167.3,January,30.495,48.963,0,5
3,46874.8,680,9480,190,32.26,12.54,11167.3,January,30.445,49.04,0,2.2
3,40684.8,680,9480,190,32.26,12.54,11167.3,January,30.445,49.04,0,3.5
3,29774.8,680,9480,190,32.26,12.54,11167.3,January,30.445,49.04,0,3.5
3,18174.8,680,9480,190,32.26,12.54,11167.3,January,30.445,49.04,0,3.5
3,8274.8,680,9480,190,32.26,12.54,11167.3,January,30.445,49.04,0,3.5
